key,value
title,Shaw Type
subtitle,Shavian Typing Practice
practice,Practice
play,Play
settings,Settings
keyboardLayout,Keyboard Layout
ligatures,Automatic ligatures
lesson,Lesson:
wordLength,Word Length:
characters,characters
length1,1 character
length2,2 characters
length3,3 characters
length4,4 characters
length5,5 characters
length6,6 characters
length7,7 characters
length46,4-6 characters
length57,5-7 characters
lesson_label,Lesson
level_label,Level
words,Words
accuracy,Accuracy
gameInstructions,Type the words shown - hit space between words.
lessonHomeRowCenter,Home Row Center
lessonFullHomeRow,Full Home Row
lessonIndexFingerReach,Index Finger Reach
lessonUpperLowerRows,Upper & Lower Rows
lessonNumberRowFocus,Number Row Focus
lessonHardToReach,Hard to Reach
lessonAllKeys,All Keys
lessonCompoundLetters,Compound Letters
lessonHomeRowShift,Home Row + Shift
lessonAddUpperRow,Add Upper Row
lessonAddLowerRow,Add Lower Row
lessonEssentialPhonemes,Essential Phonemes
lessonVowelVoyage,Vowel Voyage
lessonConsonantCommand,Consonant Command
lessonLigaturePower,Ligature Power
lessonShiftMastery,Shift Mastery
lessonCompleteControl,Complete Control
lessonCoreFoundation,Core Foundation
lessonHomeSweet,Home Sweet Home
lessonUpperExpedition,Upper Expedition
lessonLowerExploration,Lower Exploration
lessonShiftIntroduction,Shift Introduction
lessonMasterTypist,Master Typist
congratulations,Congratulations!
newPersonalBest,New Personal Best:
lessonComplete,Lesson Complete!
sessionComplete,Session Complete!
wpm,WPM:
lettersPerMin,Letters/min:
accuracy_final,Accuracy:
levelReached,Level Reached:
practiceAgain,Practice Again
scoresTitle,Scores
menuHighScores,Scores
noScoresYet,No high scores yet. Complete a game in Play mode to set your first records!
levels,Levels
bestTime,Best Time:
bestWPM,Best WPM:
bestAccuracy,Best Accuracy:
settingsTitle,Settings
displayShavian,Display UI in Shavian
displayShavianDesc,Show labels and text in Shavian alphabet instead of Latin
showVirtualKeyboard,Show virtual keyboard
showVirtualKeyboardDesc,Display a draggable on-screen keyboard showing Shavian characters
splashTitle,Welcome to Shaw Type!
whatsNew,What's New
dontShowAgain,Don't show this again
continueButton,Continue
setupTitle,Get Started
setupSubtitle,Choose your keyboard layout and spelling preference:
setupNote,"Don't worry too much. This choice, and more besides, can be changed later in settings."
startPracticing,Start Practicing!
close,Close
lessonModalTitle,Choose a Lesson
lessonModalSubtitle,Select a lesson to practice:
lessonModalCancel,Cancel
lessonPrefix,Lesson
desc1,"Middle fingers only, home row"
desc2,"All fingers, home row"
desc3,Add index finger upper/lower reaches
desc4,Extend to more keys above and below
desc5,Add outer columns
desc6,Complete keyboard (all layers)
desc7,Practice typing ligatures
desc8,Home row with shift layer
desc9,Add upper row (both layers)
desc10,Add lower row (both layers)
desc11,Master the 9 most common sounds in English
desc12,Navigate through English vowel sounds
desc13,Build confidence with base layer consonants
desc14,Harness the efficiency of compound letters
desc15,Unlock the full potential of the shift layer
desc16,Command every key with confidence
desc17,Build your foundation with essential sounds
desc18,Master the comfort of the home row
desc19,Journey to the upper reaches of your keyboard
desc20,Explore the depths below home position
desc21,Discover new dimensions with the shift key
desc22,Achieve mastery over the complete keyboard
desc23,"All fingers, home row (unshifted)"
desc24,Complete keyboard including number row
menuAbout,About
menuKeyboards,Keyboards
menuResources,Resources
menuSettings,Settings
dialectLabel,Choose spelling
dialectBritish,British
dialectAmerican,American
hideWelcome,Hide welcome screen when page opens
levelCountLabel,Play Mode Level Count
personalBest,personal best!
levelCount3,3 levels (15 words)
levelCount6,6 levels (30 words)
levelCount10,10 levels (50 words)
layoutImperial,Shaw Imperial
layoutIGC,Imperial Good Companion
layoutQwerty,Shaw QWERTY
layout2layer,Shaw 2-layer (shift)
layoutJafl,Shaw-JAFL
shortWords,Short Words
mediumWords,Medium Words
longWords,Long Words
letter,Letter
letters,Letters
